;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
145;APK;ASPARAGA;Asparaga;S8;Y7, Y8, Y9;2017; 34,15 ; 3.900,00 ; 1.909 ;; 1.991 ;DAMIMAS;;; 56 
146;APK;ASPARAGA;Asparaga;S9;Y10, Z10;2016; 12,32 ; 1.506,00 ; 1.136 ;; 370 ;DAMIMAS;;; 92 
147;APK;ASPARAGA;Asparaga;S10;Y6, Z7,Z8;2017; 25,98 ; 2.378,00 ; 1.329 ;; 1.049 ;DAMIMAS;;; 51 
148;APK;ASPARAGA;Asparaga;S11;Y14, Y15;2016; 15,63 ; 2.112,00 ; 1.358 ;; 754 ;DAMIMAS;;; 87 
149;APK;ASPARAGA;Asparaga;S12;Y16;2016; 18,18 ; 2.338,00 ; 1.879,00 ;; 459 ;DAMIMAS;;; 103 
150;APK;ASPARAGA;Asparaga;S13;Y17;2016; 15,75 ; 2.263,00 ; 1.701,00 ;; 562 ;DAMIMAS;;; 108 
151;APK;ASPARAGA;Asparaga;S14;Y18;2016; 29,67 ; 3.879,00 ; 3.189,00 ;; 690 ;DAMIMAS;;; 107 
152;APK;ASPARAGA;Asparaga;S15;Y19;2016; 24,07 ; 3.118,00 ; 2.896,00 ;; 222 ;DAMIMAS;;; 120 
153;APK;ASPARAGA;Asparaga;S16;R18, S16, S17;2017; 10,75 ; 1.386,00 ; 800,00 ;; 586 ;DAMIMAS;;; 74 
154;APK;ASPARAGA;Asparaga;S17;X16, X17;2017; 10,88 ; 1.266,00 ; 503,00 ;; 763 ;DAMIMAS;;; 46 
155;APK;ASPARAGA;Asparaga;S18;W17, X18;2017; 4,81 ; 565,00 ; 178,00 ;; 387 ;;;; 37 
156;APK;ASPARAGA;Asparaga;S19;R9, R10;2017; 28,46 ; 2.824,00 ; 1.165,00 ;; 1.659 ;DAMIMAS;;; 41 
157;APK;ASPARAGA;Asparaga;S20;R11, R12, S15;2017; 34,15 ; 4.144,00 ; 1.372,00 ;; 2.772 ;DAMIMAS;;; 40 
158;APK;ASPARAGA;Asparaga;S21;Q11, Q12, Q13;2017; 26,40 ; 2.355,00 ; 92,00 ;; 2.263 ;DAMIMAS;;; 3 
159;APK;ASPARAGA;Asparaga;S22;Q14, Q15;2017; 11,60 ; 1.496,00 ; 1.228,00 ;; 268 ;DAMIMAS;;; 106 
160;APK;ASPARAGA;Asparaga;S23;P8,P9,P11,Q8,O9,10;2017; 27,65 ; 3.291,00 ; 1.743,00 ;; 1.548 ;DAMIMAS;;; 63 
161;APK;ASPARAGA;Asparaga;S24;O4, O7, P7;2017; 24,06 ; 2.425,00 ; 1.004,00 ;; 1.421 ;DAMIMAS;;; 42 
162;APK;TOYIDITO;Molamahu;I1;CG46,CG47;2017; 13,81 ; 482,00 ; 98,00 ;; 384 ;;;; 7 
163;APK;TOYIDITO;Ayumolingo;J1;CC47,CC48,CC49,CC50;2018; 45,90 ; 4.891,00 ; 1.502,00 ;; 3.389 ;;;; 33 
164;APK;TOYIDITO;Ayumolingo;J2;CD49,CD50,CD51;2018; 43,14 ; 3.906,00 ; 1.257,00 ;; 2.649 ;;;; 29 
165;APK;TOYIDITO;Ayumolingo;I2;F14,F15,F16;2018; 19,52 ; 1.787,00 ; 1.550,00 ;; 237 ;;;; 79 
166;HJA;TOYIDITO;Molamahu;I3;H29,H33;2017; 2,49 ; 313,00 ; 289,00 ;; 24 ;;;; 116 
167;HJA;TOYIDITO;Molamahu;I4;J31 ,J32 ,K31 ;2017; 23,33 ; 2.043,00 ; 1.116,00 ;; 927 ;;;; 48 
168;HJA;TOYIDITO;Molamahu;H1;H10,H6,H7,H13,H11,H9,H12;2016; 39,03 ; 2.988,00 ; 2.620,00 ;; 368 ;;;; 67 
